#{"t_start": 1720608011.0444477, "env_id": "Overcooked-Plus"}
r,l,t
-20.0,200,0.257516
-20.0,200,0.506152
-20.0,200,0.752401
-20.0,200,1.022181
-20.0,200,1.276325
-20.0,200,1.516726
-20.0,200,1.793857
-24.9,200,2.033541
-20.0,200,2.317532
-20.0,200,2.595834
-20.0,200,4.149868
-20.0,200,4.452664
-20.0,200,4.71843
-20.0,200,4.978377
-20.0,200,5.251971
-20.0,200,5.514607
-20.0,200,5.780527
-20.0,200,6.058497
-24.9,200,6.341839
-20.0,200,6.610729
-20.0,200,8.058271
-20.0,200,8.298359
-20.0,200,8.550424
-20.0,200,8.789979
-20.0,200,9.030921
-20.0,200,9.161466
-20.0,200,9.300297
-20.0,200,9.435024
-20.0,200,9.561969
-20.0,200,9.698171
-20.0,200,9.954143
